ONS Code,Region or Country,Road user type,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,
K03000001,Great Britain,Car occupants,Killed,801,785,797,754,816,787,777,736,618,682,,,,,,,,,,,,,
N92000002,Northern Ireland,Car occupants,Killed,,32,42,46,41,36,30,32,33,,,,,,,,,,,,,,
K02000001,United Kingdom,Car occupants,Killed,,817,839,800,857,823,807,768,651,,,,,,,,,,,,,,
E12000001,North East,Pedestrians,KSI (unadjusted),271,238,209,241,224,221,257,272,172,198,,,,,,,,,,,,,
E12000002,North West,Pedestrians,KSI (unadjusted),797,748,777,737,792,718,781,732,458,665,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedestrians,KSI (unadjusted),618,533,571,517,514,612,639,562,426,533,,,,,,,,,,,,,
E12000004,East Midlands,Pedestrians,KSI (unadjusted),374,325,375,355,326,369,389,393,274,331,,,,,,,,,,,,,
E12000005,West Midlands,Pedestrians,KSI (unadjusted),519,499,491,548,560,517,563,535,405,419,,,,,,,,,,,,,
E12000006,East of England,Pedestrians,KSI (unadjusted),440,371,418,401,468,503,483,517,348,406,,,,,,,,,,,,,
E12000007,London,Pedestrians,KSI (unadjusted),"1,124",839,781,732,876,"1,409","1,368","1,349",865,962,,,,,,,,,,,,,
E12000008,South East,Pedestrians,KSI (unadjusted),740,720,783,788,753,714,748,722,558,640,,,,,,,,,,,,,
E12000009,South West,Pedestrians,KSI (unadjusted),382,416,371,349,386,372,381,363,233,303,,,,,,,,,,,,,
E92000001,England,Pedestrians,KSI (unadjusted),"5,265","4,689","4,776","4,668","4,899","5,435","5,609","5,445","3,739","4,457",,,,,,,,,,,,,
W92000004,Wales,Pedestrians,KSI (unadjusted),203,260,249,207,199,189,206,227,155,161,,,,,,,,,,,,,
S92000003,Scotland,Pedestrians,KSI (unadjusted),510,439,479,462,429,414,395,528,357,340,,,,,,,,,,,,,
K03000001,Great Britain,Pedestrians,KSI (unadjusted),"5,978","5,388","5,504","5,337","5,527","6,038","6,210","6,200","4,251","4,958",,,,,,,,,,,,,
N92000002,Northern Ireland,Pedestrians,KSI (unadjusted),,169,158,183,179,190,151,176,124,156,,,,,,,,,,,,,
K02000001,United Kingdom,Pedestrians,KSI (unadjusted),,"5,557","5,662","5,520","5,706","6,228","6,361","6,376","4,375","5,114",,,,,,,,,,,,,
E12000001,North East,Pedal cyclists,KSI (unadjusted),101,101,111,120,111,123,92,116,129,113,,,,,,,,,,,,,
E12000002,North West,Pedal cyclists,KSI (unadjusted),374,396,448,382,403,432,411,361,389,434,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedal cyclists,KSI (unadjusted),310,340,356,337,341,380,361,394,339,345,,,,,,,,,,,,,
E12000004,East Midlands,Pedal cyclists,KSI (unadjusted),238,227,260,218,212,242,234,219,262,254,,,,,,,,,,,,,
E12000005,West Midlands,Pedal cyclists,KSI (unadjusted),197,192,204,212,282,255,241,214,239,235,,,,,,,,,,,,,
E12000006,East of England,Pedal cyclists,KSI (unadjusted),290,290,293,321,377,359,395,404,359,372,,,,,,,,,,,,,
E12000007,London,Pedal cyclists,KSI (unadjusted),673,489,433,387,454,684,783,778,870,999,,,,,,,,,,,,,
E12000008,South East,Pedal cyclists,KSI (unadjusted),626,706,818,765,777,717,742,694,781,693,,,,,,,,,,,,,
E12000009,South West,Pedal cyclists,KSI (unadjusted),269,241,287,303,246,294,268,262,249,269,,,,,,,,,,,,,
E92000001,England,Pedal cyclists,KSI (unadjusted),"3,078","2,982","3,210","3,045","3,203","3,486","3,527","3,442","3,617","3,714",,,,,,,,,,,,,
W92000004,Wales,Pedal cyclists,KSI (unadjusted),84,100,138,123,115,112,103,127,97,96,,,,,,,,,,,,,
S92000003,Scotland,Pedal cyclists,KSI (unadjusted),176,163,164,169,155,176,162,187,255,205,,,,,,,,,,,,,
K03000001,Great Britain,Pedal cyclists,KSI (unadjusted),"3,338","3,245","3,512","3,337","3,473","3,774","3,792","3,756","3,969","4,015",,,,,,,,,,,,,
